	mESC_DMSO_rep1	mESC_DMSO_rep2	mESC_DMSO_rep3	2_NPC_DMSO	4_NPC_DMSO	5_NPC_DMSO
ENSMUSG00000108550.1	3	0	0	2	2	3
ENSMUSG00000108551.1	48	46	40	75	64	41
ENSMUSG00000108552.1	0	0	0	0	0	0
ENSMUSG00000108553.1	1	0	0	12	2	6
ENSMUSG00000108554.1	0	0	0	0	0	0
ENSMUSG00000108555.1	53	38	65	147	154	162
ENSMUSG00000108556.1	0	0	0	0	0	0
ENSMUSG00000108557.1	1	4	1	2	0	1
ENSMUSG00000108558.1	0	0	0	1	24	7
ENSMUSG00000108559.1	0	0	0	0	0	0
ENSMUSG00000108560.1	5	9	3	2	3	1
ENSMUSG00000108561.1	0	0	0	0	0	0
ENSMUSG00000108562.1	0	0	0	0	0	0
ENSMUSG00000108563.1	0	0	0	0	0	2
ENSMUSG00000108565.1	0	0	0	0	0	0
ENSMUSG00000108566.1	0	0	0	0	0	0
ENSMUSG00000108567.1	0	2	3	0	0	0
ENSMUSG00000108568.1	0	0	0	0	0	0
ENSMUSG00000108569.1	0	0	0	0	0	0
ENSMUSG00000108570.1	0	0	0	0	0	0
ENSMUSG00000108571.1	3	1	0	1	0	0
ENSMUSG00000108572.1	1	0	0	7	1	3
ENSMUSG00000108573.1	1	3	3	4	2	3
ENSMUSG00000108574.1	1	3	0	0	0	0
ENSMUSG00000108575.1	0	0	0	0	0	0
ENSMUSG00000108576.1	0	0	0	0	0	0
ENSMUSG00000108577.1	0	0	0	0	0	0
ENSMUSG00000108578.1	0	0	0	0	0	0
ENSMUSG00000108579.1	1	1	1	0	0	0
ENSMUSG00000108580.1	0	0	0	0	0	0
ENSMUSG00000108581.1	0	0	0	0	0	0
ENSMUSG00000108582.1	0	0	0	0	0	1
ENSMUSG00000108583.1	0	0	0	0	0	0
ENSMUSG00000108584.1	6	0	2	13	9	11
ENSMUSG00000108586.1	0	0	0	0	0	0
ENSMUSG00000108587.1	0	0	4	0	0	0
ENSMUSG00000108588.1	0	1	2	0	0	0
ENSMUSG00000108589.1	0	0	0	0	0	0
ENSMUSG00000108590.1	0	0	0	0	0	0
ENSMUSG00000108591.1	174	118	184	590	390	417
ENSMUSG00000108592.1	66	47	41	29	28	12
ENSMUSG00000108593.1	0	0	0	0	0	0
ENSMUSG00000108594.1	1	2	1	19	14	24
ENSMUSG00000108595.1	0	0	0	0	1	0
ENSMUSG00000108596.1	0	1	0	0	0	0
ENSMUSG00000108597.1	2	3	0	8	2	5
ENSMUSG00000108598.1	0	0	0	0	0	0
ENSMUSG00000108599.1	7	4	2	7	10	15
ENSMUSG00000108600.1	0	0	0	0	0	0
ENSMUSG00000108601.1	9	6	26	1837	1351	1414
ENSMUSG00000108602.1	0	0	0	0	0	0
ENSMUSG00000108603.1	0	1	1	0	2	0
ENSMUSG00000108604.1	0	0	2	0	0	0
ENSMUSG00000108605.2	0	0	0	0	0	0
ENSMUSG00000108606.1	0	0	0	0	0	0
ENSMUSG00000108607.2	89	38	98	172	170	202
ENSMUSG00000108608.1	8	4	6	6	7	10
ENSMUSG00000108609.1	29	22	21	8	9	6
ENSMUSG00000108610.1	3	2	0	2	0	1
ENSMUSG00000108611.1	0	0	0	0	0	0
ENSMUSG00000108612.2	0	0	0	0	0	0
ENSMUSG00000108613.1	10	11	3	5	1	2
ENSMUSG00000108614.1	11	8	10	1	4	1
ENSMUSG00000108615.1	8	5	7	10	6	4
ENSMUSG00000108616.1	0	7	0	2415	2079	2137
ENSMUSG00000108617.1	24	20	25	111	101	72
ENSMUSG00000108618.1	8	4	1	1	7	8
ENSMUSG00000108619.1	0	0	0	0	0	0
ENSMUSG00000108620.1	0	0	0	0	0	0
ENSMUSG00000108621.1	2740	1977	2258	8422	7408	7941
ENSMUSG00000108622.2	0	3	0	0	0	0
ENSMUSG00000108623.1	0	0	0	0	0	0
ENSMUSG00000108624.1	2	3	10	1	1	0
ENSMUSG00000108625.1	0	0	0	0	0	0
ENSMUSG00000108626.1	0	0	0	0	2	0
ENSMUSG00000108627.1	0	0	0	0	0	0
ENSMUSG00000108628.1	0	3	0	0	2	1
ENSMUSG00000108629.1	0	0	0	0	0	0
ENSMUSG00000108630.1	0	0	0	0	3	0
ENSMUSG00000108633.1	4	3	1	3	0	0
ENSMUSG00000108634.1	9	6	7	86	126	57
ENSMUSG00000108635.1	0	0	0	0	0	0
ENSMUSG00000108636.1	0	0	0	0	0	0
ENSMUSG00000108637.1	0	0	0	0	0	0
ENSMUSG00000108638.1	0	0	1	1	0	0
ENSMUSG00000108639.1	0	0	0	0	0	0
ENSMUSG00000108640.1	1	1	3	7	4	5
ENSMUSG00000108641.1	0	0	0	0	0	0
ENSMUSG00000108642.1	0	0	0	0	0	0
ENSMUSG00000108643.1	2	0	2	4	10	3
ENSMUSG00000108644.1	0	0	0	0	1	0
ENSMUSG00000108645.1	0	0	0	0	0	0
ENSMUSG00000108646.1	0	3	0	0	0	0
ENSMUSG00000108647.1	0	0	0	0	0	0
ENSMUSG00000108648.1	0	0	0	0	0	0
ENSMUSG00000108649.1	0	0	0	0	0	0
ENSMUSG00000108650.1	22	12	23	1	6	0
ENSMUSG00000108651.1	0	0	0	0	0	0
ENSMUSG00000108652.1	0	0	0	1	0	1
ENSMUSG00000108654.1	0	2	0	0	9	2
ENSMUSG00000108655.1	313	230	208	209	185	145
ENSMUSG00000108657.1	0	0	0	0	1	0
ENSMUSG00000108659.1	91	78	93	31	56	40
ENSMUSG00000108660.1	135	68	148	45	48	33
ENSMUSG00000108661.1	0	0	0	0	0	0
ENSMUSG00000108662.3	0	0	0	0	0	0
ENSMUSG00000108663.1	0	0	0	0	0	0
ENSMUSG00000108665.1	0	0	0	0	0	0
ENSMUSG00000108666.1	0	0	0	0	0	0
ENSMUSG00000108667.1	0	0	0	0	0	0
ENSMUSG00000108668.1	3	2	2	6	2	1
ENSMUSG00000108669.1	0	0	0	0	0	0
ENSMUSG00000108670.1	0	0	0	1	1	0
ENSMUSG00000108671.1	6	1	5	2	1	0
ENSMUSG00000108672.1	0	0	0	0	0	1
ENSMUSG00000108673.1	0	0	0	0	0	0
ENSMUSG00000108674.2	0	0	0	0	0	0
ENSMUSG00000108675.1	0	0	0	0	0	0
ENSMUSG00000108676.1	106	67	110	1	0	1
ENSMUSG00000108677.1	3	3	7	0	2	3
ENSMUSG00000108678.1	22	4	45	89	79	74
ENSMUSG00000108679.1	0	0	0	0	1	0
ENSMUSG00000108681.1	2	0	0	0	0	1
ENSMUSG00000108682.1	0	0	0	0	0	0
ENSMUSG00000108683.1	0	0	0	0	0	0
ENSMUSG00000108685.1	0	0	0	0	0	0
ENSMUSG00000108686.1	0	4	1	5	2	2
ENSMUSG00000108687.1	0	0	0	1	1	0
ENSMUSG00000108688.1	2	3	3	2	0	0
ENSMUSG00000108689.1	19	15	17	8	5	1
ENSMUSG00000108691.1	0	0	0	0	0	0
ENSMUSG00000108692.1	0	0	0	1	0	0
ENSMUSG00000108693.1	0	0	2	0	0	1
ENSMUSG00000108694.1	30	27	31	18	3	6
ENSMUSG00000108695.1	2	3	0	0	1	0
ENSMUSG00000108696.1	0	1	0	0	0	0
ENSMUSG00000108697.1	0	0	0	0	0	0
ENSMUSG00000108698.1	1	0	0	0	0	0
ENSMUSG00000108699.1	0	0	0	0	0	0
ENSMUSG00000108700.1	1	1	1	1	0	0
ENSMUSG00000108701.1	41	46	59	121	111	138
ENSMUSG00000108702.1	31	29	20	45	34	45
ENSMUSG00000108703.1	2	2	0	1	2	1
ENSMUSG00000108704.1	0	0	0	0	0	0
ENSMUSG00000108705.1	30	16	7	21	19	13
ENSMUSG00000108707.1	0	0	0	0	0	0
ENSMUSG00000108708.1	0	0	0	0	0	0
ENSMUSG00000108709.1	0	0	0	0	1	0
ENSMUSG00000108711.1	0	0	0	0	3	0
ENSMUSG00000108712.1	0	0	0	0	0	0
ENSMUSG00000108713.1	49	60	5	21	5	3
ENSMUSG00000108714.1	1	0	2	0	0	1
ENSMUSG00000108716.1	0	0	0	0	0	0
ENSMUSG00000108717.1	2	1	2	0	1	0
ENSMUSG00000108718.1	0	0	0	0	0	0
ENSMUSG00000108719.1	0	0	0	1	0	0
ENSMUSG00000108720.1	3	1	5	2	0	1
ENSMUSG00000108721.1	0	0	0	4	0	2
ENSMUSG00000108722.1	5	3	0	0	2	2
ENSMUSG00000108723.1	68	75	65	341	203	316
ENSMUSG00000108724.1	0	0	0	0	0	2
ENSMUSG00000108725.1	0	0	0	1	2	0
ENSMUSG00000108726.1	6	10	3	2	1	1
ENSMUSG00000108727.1	0	0	0	0	1	0
ENSMUSG00000108728.4	0	0	0	0	0	0
ENSMUSG00000108729.1	0	0	0	0	0	0
ENSMUSG00000108730.1	0	0	0	0	0	0
ENSMUSG00000108731.1	0	0	0	0	0	0
ENSMUSG00000108732.1	31	16	29	31	29	20
ENSMUSG00000108734.1	0	0	0	0	0	0
ENSMUSG00000108735.1	0	0	0	0	0	0
ENSMUSG00000108736.1	28	23	34	144	115	88
ENSMUSG00000108737.1	33	21	29	24	24	23
ENSMUSG00000108738.1	718	691	610	169	239	140
ENSMUSG00000108739.1	0	0	0	0	0	0
ENSMUSG00000108740.1	0	0	0	0	0	0
ENSMUSG00000108741.1	19	8	19	16	12	7
ENSMUSG00000108742.1	0	0	0	0	0	0
ENSMUSG00000108743.1	0	0	0	0	0	0
ENSMUSG00000108744.1	0	0	0	0	0	0
ENSMUSG00000108745.1	0	0	0	0	0	0
ENSMUSG00000108746.1	0	0	0	0	0	0
ENSMUSG00000108748.1	0	0	0	0	0	0
ENSMUSG00000108749.1	3	6	9	3	0	0
ENSMUSG00000108750.1	1	13	1	1	1	1
ENSMUSG00000108751.1	1	0	0	1	0	0
ENSMUSG00000108752.1	0	1	0	0	0	0
ENSMUSG00000108753.1	42	37	36	23	29	18
ENSMUSG00000108754.1	0	0	0	0	0	0
ENSMUSG00000108756.1	0	0	0	0	0	0
ENSMUSG00000108757.1	0	2	0	2	0	0
ENSMUSG00000108758.1	15	11	6	2	1	0
ENSMUSG00000108759.1	0	0	0	0	0	0
ENSMUSG00000108760.1	14	12	7	0	1	1
ENSMUSG00000108761.1	3	2	2	1	5	6
ENSMUSG00000108763.1	10	8	21	5	11	6
ENSMUSG00000108764.1	0	0	0	0	0	0
ENSMUSG00000108765.1	0	0	0	0	0	0
ENSMUSG00000108766.1	21	15	11	27	25	9
ENSMUSG00000108767.1	1	2	2	0	1	0
ENSMUSG00000108768.1	0	0	0	0	0	0
ENSMUSG00000108770.1	0	0	0	0	0	0
ENSMUSG00000108771.1	0	0	0	0	0	0
ENSMUSG00000108772.1	147	123	117	67	44	46
ENSMUSG00000108773.1	0	0	0	0	0	0
ENSMUSG00000108774.1	0	0	0	0	0	0
ENSMUSG00000108775.1	0	0	0	0	0	0
ENSMUSG00000108776.1	0	0	1	92	57	51
ENSMUSG00000108777.1	2	3	0	3	6	4
ENSMUSG00000108778.1	0	0	0	16	15	3
ENSMUSG00000108779.1	0	0	0	0	0	0
ENSMUSG00000108780.1	4	0	3	6	3	5
ENSMUSG00000108781.1	1	1	1	0	0	0
ENSMUSG00000108782.1	0	0	0	0	1	0
ENSMUSG00000108783.1	8	10	16	6	3	4
ENSMUSG00000108784.1	0	0	0	2	0	0
ENSMUSG00000108785.1	0	0	0	0	0	0
ENSMUSG00000108786.1	0	0	0	1	2	0
ENSMUSG00000108787.1	0	0	0	0	0	0
ENSMUSG00000108788.1	0	0	0	0	0	0
ENSMUSG00000108790.1	0	1	0	1	3	2
ENSMUSG00000108791.1	3	1	0	0	1	1
ENSMUSG00000108792.1	0	0	0	0	0	0
ENSMUSG00000108793.1	0	0	0	0	0	0
ENSMUSG00000108794.1	0	0	0	0	0	0
ENSMUSG00000108795.1	4	0	1	2	0	3
ENSMUSG00000108796.1	0	0	0	0	0	0
ENSMUSG00000108797.1	0	0	0	0	0	0
ENSMUSG00000108798.1	3	2	1	0	0	1
ENSMUSG00000108799.1	62	43	40	9	11	13
ENSMUSG00000108800.1	0	0	0	0	0	0
ENSMUSG00000108801.1	141	48	169	24	34	7
ENSMUSG00000108802.1	3	4	6	71	67	52
ENSMUSG00000108803.1	0	0	0	0	0	0
ENSMUSG00000108804.1	7	0	9	14	22	16
ENSMUSG00000108805.1	0	0	0	0	0	0
ENSMUSG00000108806.1	8	10	8	7	6	10
ENSMUSG00000108807.1	1	0	1	0	0	0
ENSMUSG00000108808.1	2	1	9	7	5	4
ENSMUSG00000108809.1	0	1	0	0	0	0
ENSMUSG00000108810.1	0	0	0	0	0	0
ENSMUSG00000108811.1	0	0	0	4	0	3
ENSMUSG00000108812.1	26	6	22	7	4	3
ENSMUSG00000108813.1	2	5	3	2	3	1
ENSMUSG00000108814.1	18	20	4	3	0	1
ENSMUSG00000108815.1	1	0	0	0	2	0
ENSMUSG00000108816.1	0	0	0	0	0	0
ENSMUSG00000108818.1	0	0	0	0	0	0
ENSMUSG00000108819.1	0	0	0	0	0	1
ENSMUSG00000108820.1	0	0	0	0	0	0
ENSMUSG00000108821.1	0	0	0	0	0	0
ENSMUSG00000108822.1	0	0	0	0	1	0
ENSMUSG00000108823.1	19	14	14	17	8	10
ENSMUSG00000108825.1	98	58	72	27	31	11
ENSMUSG00000108826.1	0	0	0	0	1	0
ENSMUSG00000108827.3	1	0	0	0	0	0
ENSMUSG00000108828.1	0	0	0	0	0	0
ENSMUSG00000108829.1	1	0	1	4	3	2
ENSMUSG00000108830.1	0	0	1	0	0	0
ENSMUSG00000108831.1	2	0	0	5	14	8
ENSMUSG00000108832.1	45	44	34	34	35	6
ENSMUSG00000108833.1	0	1	0	0	0	1
ENSMUSG00000108834.1	0	0	0	0	0	0
ENSMUSG00000108835.1	1	0	1	0	0	0
ENSMUSG00000108836.1	1	0	0	0	0	1
ENSMUSG00000108837.1	0	0	0	0	0	0
ENSMUSG00000108838.1	0	0	0	0	0	0
ENSMUSG00000108839.1	0	0	0	0	0	0
ENSMUSG00000108840.1	1	0	1	4	1	3
ENSMUSG00000108841.1	1251	28	2446	4	1	1
ENSMUSG00000108842.1	0	1	0	0	0	0
ENSMUSG00000108843.1	0	0	0	0	0	0
ENSMUSG00000108844.1	3	2	0	0	0	0
ENSMUSG00000108845.1	0	0	0	0	0	0
ENSMUSG00000108846.1	2	0	0	0	0	0
ENSMUSG00000108847.1	2	0	6	10	9	10
ENSMUSG00000108848.1	0	0	0	0	0	0
ENSMUSG00000108849.1	1	0	0	1	2	0
ENSMUSG00000108850.1	0	0	0	0	0	0
ENSMUSG00000108851.1	0	0	0	0	0	0
ENSMUSG00000108852.1	13	7	3	9	11	11
ENSMUSG00000108853.1	0	0	0	0	0	0
ENSMUSG00000108854.1	15	17	7	5	5	3
ENSMUSG00000108855.1	2	1	3	0	0	0
ENSMUSG00000108856.1	0	0	0	0	0	0
ENSMUSG00000108857.1	0	0	0	0	0	0
ENSMUSG00000108858.1	1	0	0	0	0	0
ENSMUSG00000108859.1	4	2	2	2	1	3
ENSMUSG00000108860.1	2	3	1	1	2	2
ENSMUSG00000108861.1	0	0	0	2	0	0
ENSMUSG00000108862.1	0	0	0	0	0	0
ENSMUSG00000108863.2	0	0	0	0	0	0
ENSMUSG00000108864.1	0	0	0	0	0	0
ENSMUSG00000108865.1	0	0	0	0	0	0
ENSMUSG00000108866.1	0	0	0	0	0	0
ENSMUSG00000108867.1	0	0	0	4	4	0
ENSMUSG00000108868.1	0	0	0	0	0	0
ENSMUSG00000108869.1	1	0	0	0	0	0
ENSMUSG00000108870.1	0	0	0	0	0	1
ENSMUSG00000108871.1	3	3	2	3	9	7
ENSMUSG00000108873.1	3	3	1	0	1	1
ENSMUSG00000108874.1	4	2	6	0	1	0
ENSMUSG00000108875.1	0	0	0	0	0	0
ENSMUSG00000108876.1	0	0	0	0	0	0
ENSMUSG00000108877.1	0	0	0	0	0	0
ENSMUSG00000108878.1	81	57	53	95	92	66
ENSMUSG00000108879.1	0	0	0	0	0	0
ENSMUSG00000108880.1	6	7	3	53	46	58
ENSMUSG00000108881.1	0	0	0	0	0	0
ENSMUSG00000108882.1	0	0	0	0	0	0
ENSMUSG00000108883.1	16	20	15	24	27	34
ENSMUSG00000108884.1	0	0	0	0	0	0
ENSMUSG00000108885.1	0	0	0	0	0	0
ENSMUSG00000108886.1	15	10	3	19	9	8
ENSMUSG00000108887.1	0	0	0	0	0	0
ENSMUSG00000108888.1	5	2	1	2	1	2
ENSMUSG00000108889.2	0	0	0	0	0	0
ENSMUSG00000108890.1	0	0	0	2	0	1
ENSMUSG00000108891.4	0	0	0	0	0	0
ENSMUSG00000108892.1	1	2	4	2	4	5
ENSMUSG00000108893.1	0	0	0	2	0	0
ENSMUSG00000108894.1	0	0	0	0	0	0
ENSMUSG00000108895.1	0	0	0	0	0	0
ENSMUSG00000108896.1	0	0	0	0	0	0
ENSMUSG00000108897.1	0	0	2	9	12	11
ENSMUSG00000108899.1	0	0	0	0	1	1
ENSMUSG00000108900.1	538	464	540	29	14	2
ENSMUSG00000108902.1	0	0	0	0	0	0
ENSMUSG00000108903.1	0	0	0	0	0	0
ENSMUSG00000108904.1	0	0	0	0	0	0
ENSMUSG00000108905.1	0	1	0	0	4	0
ENSMUSG00000108906.1	0	0	0	0	1	0
ENSMUSG00000108907.1	0	0	0	0	0	0
ENSMUSG00000108908.4	0	0	0	0	0	0
ENSMUSG00000108909.1	0	0	0	0	0	0
ENSMUSG00000108910.1	2	2	2	5	1	1
ENSMUSG00000108911.1	11	9	7	11	8	7
ENSMUSG00000108912.1	32	19	23	102	126	60
ENSMUSG00000108913.1	1	5	5	6	11	3
ENSMUSG00000108914.1	0	0	0	0	0	0
ENSMUSG00000108915.1	0	0	0	0	0	0
ENSMUSG00000108916.1	0	1	0	0	0	1
ENSMUSG00000108917.1	8	5	5	11	9	3
ENSMUSG00000108918.1	0	0	0	6	2	2
ENSMUSG00000108919.3	0	0	0	0	0	0
ENSMUSG00000108920.1	0	0	0	4	6	5
ENSMUSG00000108921.1	0	0	0	0	0	0
ENSMUSG00000108922.1	0	0	0	0	0	0
ENSMUSG00000108923.1	0	0	0	0	0	0
ENSMUSG00000108924.1	0	1	0	0	0	0
ENSMUSG00000108925.1	0	0	0	0	0	0
ENSMUSG00000108926.1	7	1	8	24	19	17
ENSMUSG00000108928.1	0	0	0	0	0	0
ENSMUSG00000108929.2	22	23	14	4	4	2
ENSMUSG00000108930.1	3	7	7	1	1	1
ENSMUSG00000108931.2	0	0	0	0	0	0
ENSMUSG00000108932.1	2	1	1	0	0	0
ENSMUSG00000108933.1	0	0	0	0	0	0
ENSMUSG00000108934.1	11	16	10	76	139	122
ENSMUSG00000108935.1	0	0	1	0	1	2
ENSMUSG00000108936.1	1	0	0	0	0	0
ENSMUSG00000108937.1	1	0	0	0	0	0
ENSMUSG00000108938.1	0	1	0	0	0	1
ENSMUSG00000108939.2	0	0	0	0	0	0
ENSMUSG00000108940.1	12	17	17	22	29	27
ENSMUSG00000108941.1	0	0	0	0	0	0
ENSMUSG00000108942.1	0	0	5	2	1	3
ENSMUSG00000108943.1	0	0	0	12	8	22
ENSMUSG00000108944.1	0	0	0	0	0	0
ENSMUSG00000108945.1	0	0	0	0	0	0
ENSMUSG00000108946.1	0	0	0	0	0	0
ENSMUSG00000108947.1	0	0	0	0	0	0
ENSMUSG00000108948.3	0	0	0	0	0	0
ENSMUSG00000108949.1	16	8	9	2	4	4
ENSMUSG00000108950.1	1	0	0	0	1	0
ENSMUSG00000108952.1	0	0	0	0	1	0
ENSMUSG00000108953.1	0	0	0	0	0	0
ENSMUSG00000108954.1	41	29	47	76	76	40
ENSMUSG00000108955.1	14	9	17	22	15	8
ENSMUSG00000108956.1	0	0	0	1	1	0
ENSMUSG00000108957.1	1	0	0	0	0	1
ENSMUSG00000108958.1	0	0	0	0	0	0
ENSMUSG00000108959.1	4	3	3	5	4	1
ENSMUSG00000108960.1	0	0	0	0	0	0
ENSMUSG00000108961.1	0	0	3	1	0	0
ENSMUSG00000108962.1	0	0	0	0	0	0
ENSMUSG00000108963.1	0	0	1	8	23	12
ENSMUSG00000108964.1	0	0	0	2	2	3
ENSMUSG00000108965.1	0	0	0	0	0	0
ENSMUSG00000108966.1	0	0	0	0	0	0
ENSMUSG00000108967.1	3	0	2	1	0	0
ENSMUSG00000108968.1	0	0	0	0	2	0
ENSMUSG00000108969.1	1	0	2	0	0	0
ENSMUSG00000108970.1	2	5	2	6	11	7
ENSMUSG00000108971.1	0	0	0	0	0	0
ENSMUSG00000108972.1	0	0	0	0	0	0
ENSMUSG00000108973.1	0	0	0	0	0	0
ENSMUSG00000108974.1	0	0	0	0	0	0
ENSMUSG00000108975.1	3	8	3	0	2	2
ENSMUSG00000108976.1	234	81	252	26	26	16
ENSMUSG00000108977.1	0	0	0	0	0	2
ENSMUSG00000108978.1	0	0	0	1	0	3
ENSMUSG00000108979.1	1	0	0	7	1	0
ENSMUSG00000108980.1	0	0	0	0	0	0
ENSMUSG00000108981.1	5	0	4	30	5	2
ENSMUSG00000108982.1	0	0	0	0	0	0
ENSMUSG00000108983.1	0	0	0	1	1	0
ENSMUSG00000108984.1	15	7	15	8	9	6
ENSMUSG00000108985.1	8	3	4	33	34	21
ENSMUSG00000108986.1	1	0	0	151	523	337
ENSMUSG00000108987.1	0	0	0	0	0	0
ENSMUSG00000108988.1	0	0	0	0	0	0
ENSMUSG00000108989.1	0	0	0	0	0	0
ENSMUSG00000108990.1	0	0	0	0	0	0
ENSMUSG00000108991.1	7	12	6	3	2	1
ENSMUSG00000108992.1	0	0	0	0	0	0
ENSMUSG00000108993.1	0	0	0	20	3	2
ENSMUSG00000108994.1	0	0	0	0	0	2
ENSMUSG00000108995.1	0	0	0	0	0	0
ENSMUSG00000108997.1	0	0	0	0	0	0
ENSMUSG00000108998.2	0	0	0	0	0	0
ENSMUSG00000109000.1	0	0	0	0	0	0
ENSMUSG00000109001.1	0	0	0	2	6	0
ENSMUSG00000109002.1	1	1	5	5	4	0
ENSMUSG00000109003.1	0	0	0	0	0	0
ENSMUSG00000109004.1	0	0	0	0	0	0
ENSMUSG00000109005.1	117	80	128	230	181	109
ENSMUSG00000109006.2	1	1	0	13	3	2
ENSMUSG00000109007.1	0	0	0	0	0	0
ENSMUSG00000109008.2	56	19	59	39	26	19
ENSMUSG00000109009.1	0	0	0	0	0	1
ENSMUSG00000109010.1	0	0	0	4	7	6
ENSMUSG00000109011.1	0	0	0	0	0	0
ENSMUSG00000109012.1	0	0	0	0	0	0
ENSMUSG00000109013.1	0	0	0	7	6	1
ENSMUSG00000109014.1	0	0	0	0	0	2
ENSMUSG00000109015.1	80	58	87	198	143	102
ENSMUSG00000109016.1	43	19	61	19	16	4
ENSMUSG00000109017.1	65	70	41	4	6	0
ENSMUSG00000109018.1	0	0	3	0	0	0
ENSMUSG00000109019.1	0	0	0	0	0	0
ENSMUSG00000109020.3	0	0	0	0	0	0
ENSMUSG00000109021.1	33	0	48	16	18	17
ENSMUSG00000109022.2	0	0	0	0	0	0
ENSMUSG00000109023.1	0	0	0	0	0	0
ENSMUSG00000109024.1	0	0	0	0	0	0
ENSMUSG00000109025.1	0	0	0	1	0	0
ENSMUSG00000109026.1	0	0	0	0	0	0
ENSMUSG00000109027.1	0	0	0	0	0	0
ENSMUSG00000109028.1	0	0	0	8	7	6
ENSMUSG00000109029.1	0	0	0	0	0	0
ENSMUSG00000109030.1	1	2	0	0	0	1
ENSMUSG00000109031.1	0	0	1	5	5	9
ENSMUSG00000109032.1	3238	2143	1566	293	259	175
ENSMUSG00000109033.2	0	0	0	0	0	0
ENSMUSG00000109034.1	0	0	0	0	0	0
ENSMUSG00000109035.1	0	0	0	0	0	0
ENSMUSG00000109036.1	0	0	0	0	0	0
ENSMUSG00000109037.1	0	0	0	0	1	0
ENSMUSG00000109038.1	37	19	15	15	7	7
ENSMUSG00000109039.1	0	0	0	0	0	0
ENSMUSG00000109040.1	0	0	0	8	8	3
ENSMUSG00000109041.1	0	0	0	0	0	0
ENSMUSG00000109042.1	0	0	0	0	0	0
ENSMUSG00000109043.1	0	0	0	0	0	0
ENSMUSG00000109044.1	0	0	0	3	0	0
ENSMUSG00000109045.1	43	39	31	4	10	3
ENSMUSG00000109046.1	0	1	1	3	0	0
ENSMUSG00000109047.1	0	0	0	0	0	0
ENSMUSG00000109049.1	6	0	3	1	0	0
ENSMUSG00000109050.1	0	0	0	0	0	0
ENSMUSG00000109051.1	45	66	20	12	3	4
ENSMUSG00000109052.1	0	0	0	0	2	0
ENSMUSG00000109053.1	0	0	0	0	0	0
ENSMUSG00000109054.1	0	0	0	0	0	0
ENSMUSG00000109055.1	0	2	0	0	0	0
ENSMUSG00000109056.1	2	0	0	0	0	0
ENSMUSG00000109057.1	32	37	27	39	31	40
ENSMUSG00000109058.3	0	0	0	0	0	0
ENSMUSG00000109059.1	52	41	50	12	10	12
ENSMUSG00000109060.1	0	0	0	0	0	0
ENSMUSG00000109061.1	0	0	1	1	0	0
ENSMUSG00000109062.1	2	1	1	1	1	0
ENSMUSG00000109063.1	0	0	0	0	0	0
ENSMUSG00000109064.1	2	0	0	2	0	0
ENSMUSG00000109065.1	0	0	0	0	0	0
ENSMUSG00000109066.1	0	0	0	0	0	0
ENSMUSG00000109067.1	0	0	0	0	1	0
ENSMUSG00000109068.1	1	0	0	0	0	0
ENSMUSG00000109069.1	0	0	0	1	0	0
ENSMUSG00000109070.2	0	0	0	0	0	0
ENSMUSG00000109071.1	0	0	0	0	0	0
ENSMUSG00000109072.1	0	0	0	0	0	0
ENSMUSG00000109073.1	4	2	1	1	0	0
ENSMUSG00000109074.1	3	4	1	3	0	2
ENSMUSG00000109076.1	0	0	0	1	0	0
ENSMUSG00000109077.1	0	0	0	0	0	0
ENSMUSG00000109078.1	0	0	0	0	0	0
ENSMUSG00000109079.1	0	0	0	0	0	0
ENSMUSG00000109080.1	4	6	2	4	3	0
ENSMUSG00000109081.1	0	0	0	0	0	0
ENSMUSG00000109082.1	0	0	1	1	2	3
ENSMUSG00000109083.2	0	0	0	0	0	0
ENSMUSG00000109084.1	0	0	2	1	0	0
ENSMUSG00000109085.1	0	0	0	0	0	0
ENSMUSG00000109086.1	57	45	51	13	16	7
ENSMUSG00000109087.1	0	0	0	0	0	0
ENSMUSG00000109088.1	0	0	0	30	50	82
ENSMUSG00000109089.1	10	1	5	0	1	0
ENSMUSG00000109090.1	6	3	3	6	3	5
ENSMUSG00000109091.1	0	0	0	2	0	1
ENSMUSG00000109092.1	0	0	0	0	0	0
ENSMUSG00000109093.1	0	0	0	0	0	0
ENSMUSG00000109094.1	0	0	0	2	7	8
ENSMUSG00000109095.1	0	0	0	8	5	8
ENSMUSG00000109096.1	10	4	7	0	1	0
ENSMUSG00000109097.1	5	0	3	10	7	2
ENSMUSG00000109098.1	0	0	0	0	0	0
ENSMUSG00000109099.1	0	0	0	0	0	0
ENSMUSG00000109100.1	0	0	0	0	0	0
ENSMUSG00000109101.1	1	0	1	0	1	0
ENSMUSG00000109102.1	0	0	0	2	0	0
ENSMUSG00000109103.1	0	0	0	0	0	0
ENSMUSG00000109104.1	2	8	2	42	18	35
ENSMUSG00000109105.1	61	79	32	7	4	5
ENSMUSG00000109106.1	0	0	0	1	0	0
ENSMUSG00000109107.1	0	0	0	0	0	0
ENSMUSG00000109108.1	52	25	34	73	81	62
ENSMUSG00000109109.1	4	2	2	4	1	1
ENSMUSG00000109110.1	0	0	0	8	3	4
ENSMUSG00000109111.1	34	39	31	59	47	42
ENSMUSG00000109112.1	4	1	2	0	0	0
ENSMUSG00000109113.1	0	0	0	0	0	0
ENSMUSG00000109114.1	0	0	0	0	0	0
ENSMUSG00000109115.1	0	0	0	3	8	0
